,Beer,Style,ABV,Ratings,Average Rating,Brewery ID,Beer ID,Empty,Brewery,Additional Information
0,1842,Bohemian Pilsener,4.4,3,3.8,1,279167,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
1,Birell Polotmavy,Low Alcohol Beer,0.5,1,3.49,1,440514,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
2,Eisbrau Czech,Bohemian Pilsener,5,6,3.54,1,14348,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
3,Fénix,Belgian Witbier,4.7,13,3.55,1,102156,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
4,Gambrinus,Bohemian Pilsener,5,134,3.38,1,5916,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
5,Gambrinus Excelent (Gambrinus 11),Bohemian Pilsener,4.7,19,3.45,1,49865,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
6,Gambrinus Nefiltrovane,Bohemian Pilsener,0,2,4.11,1,240598,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
7,Gambrinus Original 10°,Bohemian Pilsener,4.3,37,3.21,1,97426,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
8,Gambrinus Pale,Bohemian Pilsener,4.1,10,3.56,1,19123,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
9,Gambrinus Plná 12,Bohemian Pilsener,5.2,6,3.39,1,240737,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
10,Gambrinus Premium,Bohemian Pilsener,5,1,4.13,1,218761,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
11,Gambrinus Svetly,Bohemian Pilsener,4.1,22,3.17,1,51575,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
12,Kozel velkopopovicky svetly lezar,Bohemian Pilsener,0,1,3.44,1,440168,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
13,Master Polotmavý 13°,Vienna Lager,5.3,30,3.63,1,69068,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
14,Master Tmavý 18°,Baltic Porter,7,25,3.96,1,67962,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
15,Master Zlatý 15°,European Strong Lager,6.7,12,3.45,1,59315,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
16,Pilsner Urquell,Bohemian Pilsener,4.4,"4,189",3.63,1,429,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
17,Pilsner Urquell 3.5%,Bohemian Pilsener,3.5,9,3.28,1,41294,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
18,Pilsner Urquell Jubileum,Bohemian Pilsener,4.4,2,4.04,1,241395,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
19,Pilsner Urquell Kvasnicový,Bohemian Pilsener,4.4,30,4.09,1,51248,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
20,Pilsner Urquell Nefiltrovaný,Bohemian Pilsener,4.4,57,4.18,1,104844,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
21,Pilsner Urquell Tankovna,Bohemian Pilsener,4.4,4,4.1,1,220584,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
22,Primus,Bohemian Pilsener,4.2,5,2.85,1,19099,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
23,Urutislav,Bohemian Pilsener,5,2,3.35,1,19274,-,Plzeňský Prazdroj,"Brewery, Bar  U Prazdroje 7Plzeň, 304 97Czech Republic+420 377 062 43 | mapprazdrojvisit.cz  Notes: "
